"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "TypeScript", "comment", "blank", "total"
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/coupon.model.d.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 1, 54
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/coupon.model.js", "JavaScript", 39, 0, 0, 0, 0, 1, 0, 40
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/faq.model.d.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 1, 7
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/faq.model.js", "JavaScript", 9, 0, 0, 0, 0, 1, 0, 10
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/favorite.model.d.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 1, 8
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/favorite.model.js", "JavaScript", 9, 0, 0, 0, 0, 1, 0, 10
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/item-purchased-user.model.d.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 1, 16
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/item-purchased-user.model.js", "JavaScript", 17, 0, 0, 0, 0, 1, 0, 18
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/agent.model.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 1, 11
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/agent.model.js", "JavaScript", 12, 0, 0, 0, 0, 1, 0, 13
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/buyer.model.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 1, 11
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/buyer.model.js", "JavaScript", 12, 0, 0, 0, 0, 1, 0, 13
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/customer.model.d.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 1, 14
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/customer.model.js", "JavaScript", 15, 0, 0, 0, 0, 1, 0, 16
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/notification.model.d.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 1, 9
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/notification.model.js", "JavaScript", 10, 0, 0, 0, 0, 1, 0, 11
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/product.model.d.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 1, 57
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/product.model.js", "JavaScript", 61, 0, 0, 0, 0, 1, 0, 62
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/purchased-item.model.d.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 1, 14
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/purchased-item.model.js", "JavaScript", 15, 0, 0, 0, 0, 1, 0, 16
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/vendor.model.d.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 1, 12
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/local_inventory/vendor.model.js", "JavaScript", 13, 0, 0, 0, 0, 1, 0, 14
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/notification.model.d.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 1, 12
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/notification.model.js", "JavaScript", 13, 0, 0, 0, 0, 1, 0, 14
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/order.model.d.ts", "TypeScript", 0, 0, 0, 0, 73, 0, 1, 74
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/order.model.js", "JavaScript", 84, 0, 0, 0, 0, 1, 0, 85
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/orderItem.model.d.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 1, 60
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/orderItem.model.js", "JavaScript", 69, 0, 0, 0, 0, 1, 0, 70
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/order_summary.model.d.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 1, 42
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/order_summary.model.js", "JavaScript", 43, 0, 0, 0, 0, 1, 0, 44
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/ordered_service.model.d.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 1, 8
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/ordered_service.model.js", "JavaScript", 9, 0, 0, 0, 0, 1, 0, 10
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/payment.model.d.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 1, 16
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/payment.model.js", "JavaScript", 17, 0, 0, 0, 0, 1, 0, 18
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product-description.d.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 1, 7
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product-description.js", "JavaScript", 8, 0, 0, 0, 0, 1, 0, 9
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product-specs.d.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 1, 12
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product-specs.js", "JavaScript", 13, 0, 0, 0, 0, 1, 0, 14
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product.model.d.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 1, 62
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product.model.js", "JavaScript", 63, 0, 0, 0, 0, 1, 0, 64
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product_data.model.d.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 1, 57
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product_data.model.js", "JavaScript", 58, 0, 0, 0, 0, 1, 0, 59
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product_images.model.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 1, 11
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/product_images.model.js", "JavaScript", 12, 0, 0, 0, 0, 1, 0, 13
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/q_and_a.model.d.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 1, 26
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/q_and_a.model.js", "JavaScript", 32, 0, 0, 0, 0, 1, 0, 33
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/question.model.d.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 1, 21
